Participants;base_log_time;log_time;base_log_nMood;log_nMood;base_log_nPlays;log_nPlays;base_log_nRecommendations;log_nRecommendations;log_nCrowdsourcing;log_nPersonality;log_nWardrobe;nSongs
1;5517;42178;6;43;18;99;5;119;4;4;19;42
2;2289;6760;2;25;15;60;3;15;0;0;3;16
3;1257;10881;8;28;23;81;6;21;14;6;17;23
4;447;25755;7;18;5;66;6;17;8;8;8;20
5;768;699;2;6;5;7;3;7;1;1;2;2
6;3383;11091;31;50;44;108;5;21;2;2;8;17
7;6337;3254;3;17;21;50;3;25;0;0;5;14
8;13086;3288;9;5;21;11;7;6;0;0;1;5
9;850;124;9;2;16;1;4;1;0;0;0;0
10;1205;1115;6;1;16;14;4;3;6;6;1;3
11;12329;9076;5;9;20;57;4;12;6;6;0;13
12;14643;28055;6;11;28;65;3;8;2;2;0;13
13;284;1918;1;2;5;11;1;2;1;1;8;4
14;390;1505;3;4;8;18;2;2;0;0;0;4
15;1610;7701;18;12;7;26;8;8;3;3;1;11
16;196;23;1;1;3;1;2;1;0;0;0;0
17;136;581;5;2;5;7;4;3;0;0;1;1
18;547;5549;3;5;9;10;2;3;2;2;0;7
19;2312;9431;4;18;3;44;3;11;4;2;6;6
20;661;4056;12;7;15;25;2;8;2;2;6;10
21;2792;2282;16;25;29;37;2;9;0;0;2;2
22;1166;1670;2;4;8;7;2;6;0;0;1;0
23;2409;1569;10;5;24;15;6;5;0;0;0;1
24;482;5127;5;4;23;6;1;2;0;0;0;0
25;0;40;0;3;0;1;0;2;3;3;1;0
26;1743;87468;2;14;21;34;2;12;13;7;0;0
27;225;4748;17;9;10;22;1;6;0;0;0;5
28;3743;45955;4;7;9;125;3;7;6;2;8;17
29;0;203;5;4;0;1;3;2;0;0;0;0
30;0;267;4;3;0;13;2;2;4;3;0;6
31;0;23;2;1;0;1;2;5;0;0;0;0
32;81;745;2;4;1;9;2;4;2;2;1;0
Total;80888;323137;210;349;412;1032;103;355;83;62;99;242
Average;2527,75;10098,03125;6,5625;10,90625;12,875;32,25;3,21875;11,09375;2,59375;1,9375;3,09375;7,5625
