Participants;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13
1;5;5;5;6;4;3;3;2;3;2;2;2;2
2;5;7;2;3;3;5;4;3;7;4;3;4;5
3;6;5;6;7;5;5;6;6;6;6;5;6;6
4;7;3;7;7;5;4;6;6;5;5;4;4;4
5;6;5;6;6;5;4;6;6;6;4;5;5;7
6;6;2;6;6;4;7;6;6;6;4;6;7;7
7;7;3;7;7;5;6;6;5;5;4;3;4;6
8;5;3;5;5;5;2;3;3;4;5;4;3;5
9;6;4;7;7;6;6;5;5;6;6;6;7;5
10;2;6;7;7;7;6;5;6;5;5;4;5;7
11;6;7;7;7;6;7;7;7;7;6;7;7;7
12;7;3;6;7;5;3;5;5;5;4;3;3;5
13;6;5;5;7;5;6;5;5;5;6;5;5;7
14;6;3;7;7;6;7;7;6;6;7;7;6;6
15;6;6;5;4;5;6;7;6;6;5;5;5;6
16;7;2;7;6;6;6;7;6;6;6;7;6;7
17;6;2;7;7;3;5;5;6;5;4;3;3;6
18;5;3;4;4;3;3;4;3;4;3;2;2;4
19;7;6;5;5;5;6;6;6;5;4;5;5;7
20;7;6;7;7;6;6;5;6;6;7;5;5;5
21;5;4;7;7;6;7;6;6;6;7;5;6;7
22;4;6;3;5;4;6;5;4;4;5;4;4;4
23;3;7;6;4;3;6;6;6;6;6;4;4;3
24;6;4;7;7;7;7;7;7;6;5;7;7;7
25;4;5;4;3;3;5;4;4;4;5;4;5;4
26;6;5;5;5;3;2;6;5;5;4;1;2;3
27;6;3;6;7;5;6;6;6;5;7;6;6;6
28;6;7;7;5;7;7;7;7;7;7;7;7;7
29;5;5;7;7;6;6;7;7;7;7;7;7;6
30;6;2;6;7;3;6;4;5;5;6;6;5;5
31;6;4;6;6;6;6;6;7;7;7;5;7;7
32;6;7;7;6;5;6;6;7;6;6;6;6;7
